fileName,nNodes,nEdges,DijkstraArray(s),DijkstraHeap(s),Spfa(s)
data/test1.txt,100,1000,6.6e-05,4.6e-05,6.2e-05
data/test100-1.txt,100,1000,4.6e-05,7e-05,4.5e-05
data/test100-10.txt,100,1000,5.7e-05,4.4e-05,4.4e-05
data/test100-2.txt,100,1000,5.3e-05,4.5e-05,4.6e-05
data/test100-3.txt,100,1000,6.9e-05,3.9e-05,4.3e-05
data/test100-4.txt,100,1000,5.3e-05,4e-05,4.2e-05
data/test100-5.txt,100,1000,4.8e-05,3.7e-05,4.4e-05
data/test100-6.txt,100,1000,5.5e-05,4.1e-05,4.5e-05
data/test100-7.txt,100,1000,5.5e-05,3.7e-05,4.3e-05
data/test100-8.txt,100,1000,4.8e-05,3.6e-05,4.4e-05
data/test100-9.txt,100,1000,5.1e-05,4e-05,4.7e-05
data/test1000-1.txt,1000,10000,0.001759,0.000719,0.000654
data/test1000-10.txt,1000,10000,0.001555,0.000425,0.000831
data/test1000-2.txt,1000,10000,0.001837,0.000793,0.000572
data/test1000-3.txt,1000,10000,0.001663,0.000468,0.000732
data/test1000-4.txt,1000,10000,0.00188,0.000437,0.000616
data/test1000-5.txt,1000,10000,0.001836,0.000494,0.000583
data/test1000-6.txt,1000,10000,0.001516,0.000518,0.000525
data/test1000-7.txt,1000,10000,0.001708,0.000575,0.000533
data/test1000-8.txt,1000,10000,0.001744,0.000645,0.000544
data/test1000-9.txt,1000,10000,0.002162,0.000658,0.000794
data/test2.txt,200,2000,0.00014,9.9e-05,0.000124
data/test200-1.txt,200,2000,0.000107,8.3e-05,0.000107
data/test200-10.txt,200,2000,0.00017,9.5e-05,0.000121
data/test200-2.txt,200,2000,0.000111,9.2e-05,0.000113
data/test200-3.txt,200,2000,0.000109,7.8e-05,0.000108
data/test200-4.txt,200,2000,0.000118,0.000119,0.000116
data/test200-5.txt,200,2000,0.00012,9.3e-05,0.000109
data/test200-6.txt,200,2000,0.000109,0.000104,0.000107
data/test200-7.txt,200,2000,0.000108,9e-05,0.000108
data/test200-8.txt,200,2000,0.000108,8.6e-05,0.000108
data/test200-9.txt,200,2000,0.000125,7.7e-05,0.000115
data/test3.txt,300,3000,0.000197,0.00012,0.000153
data/test300-1.txt,300,3000,0.000248,0.000133,0.000184
data/test300-10.txt,300,3000,0.000199,0.000118,0.000268
data/test300-2.txt,300,3000,0.000205,0.000117,0.000161
data/test300-3.txt,300,3000,0.000208,0.000123,0.000156
data/test300-4.txt,300,3000,0.000238,0.000123,0.000156
data/test300-5.txt,300,3000,0.000202,0.000121,0.000154
data/test300-6.txt,300,3000,0.000202,0.000156,0.00018
data/test300-7.txt,300,3000,0.000203,0.000131,0.000167
data/test300-8.txt,300,3000,0.000199,0.000345,0.000162
data/test300-9.txt,300,3000,0.000198,0.000121,0.000172
data/test4.txt,400,4000,0.000367,0.000198,0.000158
data/test400-1.txt,400,4000,0.000304,0.00018,0.000162
data/test400-10.txt,400,4000,0.000344,0.000224,0.000244
data/test400-2.txt,400,4000,0.000405,0.0002,0.000218
data/test400-3.txt,400,4000,0.000394,0.000201,0.00016
data/test400-4.txt,400,4000,0.000306,0.000204,0.000167
data/test400-5.txt,400,4000,0.000312,0.000192,0.0002
data/test400-6.txt,400,4000,0.000345,0.000174,0.000162
data/test400-7.txt,400,4000,0.000356,0.000237,0.000181
data/test400-8.txt,400,4000,0.000402,0.000184,0.000159
data/test400-9.txt,400,4000,0.000398,0.000213,0.0002
data/test5.txt,500,5000,0.000512,0.000206,0.000288
data/test500-1.txt,500,5000,0.000529,0.000228,0.000439
data/test500-10.txt,500,5000,0.000509,0.000298,0.000403
data/test500-2.txt,500,5000,0.000475,0.000229,0.000282
data/test500-3.txt,500,5000,0.000558,0.000242,0.000288
data/test500-4.txt,500,5000,0.000522,0.000214,0.000324
data/test500-5.txt,500,5000,0.000454,0.000247,0.000277
data/test500-6.txt,500,5000,0.000572,0.000318,0.000321
data/test500-7.txt,500,5000,0.000475,0.000326,0.000325
data/test500-8.txt,500,5000,0.000471,0.000245,0.000316
data/test500-9.txt,500,5000,0.000965,0.000262,0.000287
data/test6.txt,600,6000,0.000606,0.000324,0.000643
data/test600-1.txt,600,6000,0.000601,0.000273,0.000406
data/test600-10.txt,600,6000,0.00069,0.000432,0.000374
data/test600-2.txt,600,6000,0.000607,0.000354,0.000342
data/test600-3.txt,600,6000,0.000599,0.000251,0.000383
data/test600-4.txt,600,6000,0.000705,0.000374,0.000325
data/test600-5.txt,600,6000,0.000869,0.000321,0.000331
data/test600-6.txt,600,6000,0.000665,0.000357,0.000449
data/test600-7.txt,600,6000,0.000618,0.00027,0.000349
data/test600-8.txt,600,6000,0.000622,0.000283,0.000376
data/test600-9.txt,600,6000,0.0006,0.000302,0.000328
data/test7.txt,700,7000,0.000866,0.000319,0.00036
data/test700-1.txt,700,7000,0.000844,0.000362,0.000351
data/test700-10.txt,700,7000,0.00082,0.000434,0.000438
data/test700-2.txt,700,7000,0.000771,0.000299,0.000402
data/test700-3.txt,700,7000,0.000771,0.00041,0.000385
data/test700-4.txt,700,7000,0.000791,0.000389,0.000363
data/test700-5.txt,700,7000,0.000803,0.000291,0.000431
data/test700-6.txt,700,7000,0.000781,0.000614,0.000409
data/test700-7.txt,700,7000,0.000948,0.000391,0.000408
data/test700-8.txt,700,7000,0.000768,0.00035,0.000351
data/test700-9.txt,700,7000,0.000771,0.000341,0.000411
data/test8.txt,800,8000,0.001275,0.000853,0.000586
data/test800-1.txt,800,8000,0.000985,0.000474,0.00044
data/test800-10.txt,800,8000,0.001339,0.000443,0.000609
data/test800-2.txt,800,8000,0.000987,0.000384,0.000447
data/test800-3.txt,800,8000,0.001036,0.00036,0.000435
data/test800-4.txt,800,8000,0.001117,0.000348,0.000655
data/test800-5.txt,800,8000,0.001375,0.000367,0.000438
data/test800-6.txt,800,8000,0.00101,0.000402,0.000434
data/test800-7.txt,800,8000,0.001038,0.000422,0.00044
data/test800-8.txt,800,8000,0.001439,0.000345,0.000436
data/test800-9.txt,800,8000,0.001656,0.000474,0.000454
data/test9.txt,900,9000,0.001955,0.000445,0.000621
data/test900-1.txt,900,9000,0.001451,0.0006,0.000611
data/test900-10.txt,900,9000,0.001501,0.000447,0.000601
data/test900-2.txt,900,9000,0.001471,0.00043,0.000593
data/test900-3.txt,900,9000,0.001807,0.000568,0.000569
data/test900-4.txt,900,9000,0.001416,0.000382,0.000709
data/test900-5.txt,900,9000,0.001236,0.000645,0.000538
data/test900-6.txt,900,9000,0.001297,0.000548,0.000566
data/test900-7.txt,900,9000,0.001854,0.000622,0.000558
data/test900-8.txt,900,9000,0.001586,0.000384,0.000579
data/test900-9.txt,900,9000,0.001639,0.000572,0.000565
