fileName,nNodes,nEdges,DijkstraArray,DijkstraHeap,Spfa
data/Long-C.11.0.txt,1048576,4063200,0.873514,0.624625,1029.22
data/Square-C.13.0.txt,1048576,4190208,16.5971,0.839373,13.1363
data/Square-n.19.0.txt,524176,2093808,5.52499,0.430433,3.403
data/Long-n.16.0.txt,65536,253920,0.030818,0.020872,3.41003
data/Square-C.4.0.txt,1048576,4190208,16.0432,0.806007,13.3984
data/Long-n.20.0.txt,1048576,4063200,0.84859,0.615175,1101.84
data/Long-C.1.0.txt,1048576,4063200,0.754037,0.567803,1255.99
data/Long-n.12.0.txt,4096,15840,0.002139,0.001313,0.008194
data/USA-road-t.CTR.txt,14081816,34292496,1111.74,12.5426,3815.1
data/Random4-C.11.0.txt,1048576,4194304,7179.1,2.07122,2.28316
data/Long-n.18.0.txt,262144,1015776,0.204978,0.163977,31.9294
data/Square-C.6.0.txt,1048576,4190208,21.2024,0.876644,10.1806
data/USA-road-d.BAY.txt,321270,800172,0.828097,0.200996,3.6539
data/Random4-n.21.0.txt,2097152,8388608,41401.3,4.83013,4.708
data/USA-road-t.USA.txt,23947347,58333344,1436.82,20.8327,10105.1
data/Square-C.10.0.txt,1048576,4190208,20.2243,0.911178,10.1891
data/Square-n.13.0.txt,8190,32398,0.008205,0.003091,0.00812
data/Long-C.2.0.txt,1048576,4063200,0.730921,0.584546,1965.35
data/Square-C.14.0.txt,1048576,4190208,14.3358,0.812597,15.8687
data/Random4-C.3.0.txt,1048576,4194304,7098.44,1.65883,2.42079
data/Long-C.10.0.txt,1048576,4063200,0.862704,0.635475,1047.69
data/Square-C.1.0.txt,1048576,4190208,16.6079,0.709684,10.0455
data/Long-C.0.0.txt,1048576,4063200,1.0701,0.541123,2254.03
data/USA-road-t.COL.txt,435666,1057066,1.76553,0.284722,9.16085
data/USA-road-d.NE.txt,1524453,3897636,10.9509,1.09939,117.897
data/Long-n.15.0.txt,32768,126944,0.017222,0.011173,0.566395
data/Square-n.21.0.txt,2096704,8381024,52.7345,1.85001,61.106
data/Random4-C.15.0.txt,1048576,4194304,8089.84,2.14127,2.73649
data/USA-road-d.NW.txt,1207945,2840208,3.99271,0.790732,203.633
data/Random4-C.9.0.txt,1048576,4194304,8044.01,2.14168,2.33653
data/Square-C.2.0.txt,1048576,4190208,14.555,0.817595,13.1547
data/Random4-C.12.0.txt,1048576,4194304,6942.29,2.07401,2.41336
data/USA-road-d.NY.txt,264346,733846,0.755572,0.16689,4.64446
data/Random4-n.12.0.txt,4096,16384,0.027062,0.001993,0.001616
data/USA-road-d.E.txt,3598623,8778114,26.4624,2.58162,761.888
data/USA-road-t.BAY.txt,321270,800172,1.47284,0.210344,3.34166
data/Random4-C.4.0.txt,1048576,4194304,7933.42,1.78939,2.36983
data/Random4-n.18.0.txt,262144,1048576,175.07,0.383838,0.394049
data/Random4-C.0.0.txt,1048576,4194304,6876.61,1.15434,3.73895
data/Square-C.11.0.txt,1048576,4190208,16.5305,0.840937,15.5441
data/Random4-n.10.0.txt,1024,4096,0.001952,0.000375,0.000355
data/Random4-n.20.0.txt,1048576,4194304,7974.48,2.16879,2.25206
data/Random4-C.8.0.txt,1048576,4194304,6989.13,2.07139,2.51801
data/Long-C.7.0.txt,1048576,4063200,0.85647,0.632683,1063.75
data/Long-n.19.0.txt,524288,2031584,0.358115,0.28825,271.361
data/Square-C.5.0.txt,1048576,4190208,26.3504,0.909613,8.47015
data/Random4-n.17.0.txt,131072,524288,38.3771,0.124961,0.10087
data/Square-C.0.0.txt,1048576,4190208,349.822,0.593521,38.825
data/USA-road-d.CTR.txt,14081816,34292496,470.563,11.5151,5539.88
data/USA-road-d.CAL.txt,1890815,4657742,6.97526,1.26811,311.291
data/Long-C.3.0.txt,1048576,4063200,0.873331,0.625569,1131.2
data/Random4-C.2.0.txt,1048576,4194304,8047.67,1.55797,2.29385
data/Long-n.10.0.txt,1024,3936,0.000533,0.000477,0.000625
data/USA-road-t.LKS.txt,2758119,6885658,22.9424,1.97256,646.085
data/USA-road-d.FLA.txt,1070376,2712798,2.47282,0.673397,196.364
data/USA-road-t.FLA.txt,1070376,2712798,4.17537,0.713237,21.3943
data/Square-n.17.0.txt,131044,522728,0.51246,0.070328,0.443925
data/Long-C.4.0.txt,1048576,4063200,0.805629,0.605964,1241.94
data/Square-C.7.0.txt,1048576,4190208,18.688,0.904987,9.82966
data/Square-C.15.0.txt,1048576,4190208,27.5183,0.920788,6.95244
data/Long-C.13.0.txt,1048576,4063200,0.824184,0.607744,1125.37
data/Long-n.17.0.txt,131072,507872,0.082484,0.054015,7.96539
data/USA-road-t.NE.txt,1524453,3897636,25.0348,1.16408,41.8898
data/Random4-C.7.0.txt,1048576,4194304,7932.73,2.10899,2.31633
data/USA-road-d.LKS.txt,2758119,6885658,11.3522,1.85869,956.85
data/Square-C.12.0.txt,1048576,4190208,14.386,0.825056,17.5767
data/Random4-n.16.0.txt,65536,262144,9.36141,0.046307,0.041014
data/USA-road-t.CAL.txt,1890815,4657742,14.4264,1.34555,339.014
